Year,Sector,Total_No,Total_Pct,Agricultural_No,Agricultural_Pct,Non_Agricultural_No,Non_Agricultural_Pct
2015,Formal,3144478,40.2,306686,13.7,2837792,50.8
2015,Informal,4686498,59.8,1937861,86.3,2748637,49.2
2015,Total,7830976,100.0,2244547,100.0,5586429,100.0
2016,Formal,3163062,39.8,269650,12.5,2893412,49.9
2016,Informal,4784621,60.2,1884224,87.5,2900396,50.1
2016,Total,7947683,100.0,2153874,100.0,5793809,100.0
2017,Formal,3444286,42.0,303977,14.2,3140309,51.8
2017,Informal,4763893,58.0,1836207,85.8,2927686,48.2
2017,Total,8208179,100.0,2140185,100.0,6067994,100.0
2018,Formal,3309386,41.3,245697,12.0,3063689,51.3
2018,Informal,4705780,58.7,1798001,88.0,2907779,48.7
2018,Total,8015166,100.0,2043698,100.0,5971468,100.0
2019,Formal,3482505,42.6,228749,11.0,3253756,53.3
2019,Informal,4698187,57.4,1843191,89.0,2854997,46.7
2019,Total,8180693,100.0,2071940,100.0,6108752,100.0
2020,Formal,3352613,41.9,239095,11.0,3113518,53.4
2020,Informal,4646480,58.1,1930584,89.0,2715896,46.6
2020,Total,7999093,100.0,2169679,100.0,5829414,100.0
2021,Formal,3377780,41.6,248566,11.2,3129213,53.0
2021,Informal,4735727,58.4,1964448,88.8,2771279,47.0
2021,Total,8113507,100.0,2213015,100.0,5900492,100.0
2022,Formal,3469040,42.6,262929,12.2,3206111,53.5
2022,Informal,4678690,57.4,1895630,87.8,2783060,46.5
2022,Total,8147731,100.0,2158559,100.0,5989172,100.0
2023,Formal,3362722,42.0,232794,11.1,3129927,52.9
2023,Informal,4647195,58.0,1855550,88.9,2791645,47.1
2023,Total,8009916,100.0,2088344,100.0,5921572,100.0
2024,Formal,3423526,43.1,239224,11.6,3184302,54.1
2024,Informal,4526224,56.9,1827427,88.4,2698798,45.9
2024,Total,7949751,100.0,2066651,100.0,5883100,100.0
