Year,Employment_Status,Total_No,Total_Pct,Formal_No,Formal_Pct,Informal_No,Informal_Pct
2015,Total,7830976,100.0,3144478,100.0,4686498,100.0
2015,Employees,4396837,56.1,2849384,90.6,1547454,33.0
2015,Employer,242995,3.1,110023,3.5,132972,2.8
2015,Own Account Worker,2531081,32.3,131153,4.2,2399928,51.2
2015,Contributing Family Worker,660064,8.4,53919,1.7,606145,12.9
2016,Total,7947683,100.0,3163062,100.0,4784621,100.0
2016,Employees,4595577,57.8,2874407,90.9,1721170,36.0
2016,Employer,217215,2.7,88653,2.8,128562,2.7
2016,Own Account Worker,2511750,31.6,140682,4.4,2371068,49.6
2016,Contributing Family Worker,623141,7.8,59320,1.9,563821,11.8
2017,Total,8208179,100.0,3444286,100.0,4763893,100.0
2017,Employees,4734031,57.7,3071757,89.2,1662275,34.9
2017,Employer,247470,3.0,116856,3.4,130614,2.7
2017,Own Account Worker,2571023,31.3,183999,5.3,2387023,50.1
2017,Contributing Family Worker,655655,8.0,71674,2.1,583981,12.3
2018,Total,8015166,100.0,3309386,100.0,4705780,100.0
2018,Employees,4633022,57.8,2960161,89.4,1672861,35.5
2018,Employer,221194,2.8,92800,2.8,128394,2.7
2018,Own Account Worker,2586135,32.3,196651,5.9,2389485,50.8
2018,Contributing Family Worker,574814,7.2,59774,1.8,515041,10.9
2019,Total,8180693,100.0,3482505,100.0,4698187,100.0
2019,Employees,4738244,57.9,3096923,88.9,1641320,34.9
2019,Employer,209159,2.6,100486,2.9,108673,2.3
2019,Own Account Worker,2658735,32.5,230009,6.6,2428726,51.7
2019,Contributing Family Worker,574555,7.0,55086,1.6,519468,11.1
2020,Total,7999093,100.0,3352613,100.0,4646480,100.0
2020,Employees,4595712,57.5,2975702,88.8,1620010,34.9
2020,Employer,202788,2.5,89651,2.7,113137,2.4
2020,Own Account Worker,2657795,33.2,237630,7.1,2420165,52.1
2020,Contributing Family Worker,542798,6.8,49630,1.5,493168,10.6
2021,Total,8113507,100.0,3377780,100.0,4735727,100.0
2021,Employees,4645572,57.3,3005856,89.0,1639716,34.6
2021,Employer,222833,2.7,110971,3.3,111862,2.4
2021,Own Account Worker,2706505,33.4,206926,6.1,2499579,52.8
2021,Contributing Family Worker,538597,6.6,54026,1.6,484571,10.2
2022,Total,8147731,100.0,3469040,100.0,4678690,100.0
2022,Employees,4728424,58.0,3070076,88.5,1658348,35.4
2022,Employer,236581,2.9,123287,3.6,113294,2.4
2022,Own Account Worker,2700650,33.1,220682,6.4,2479968,53.0
2022,Contributing Family Worker,482075,5.9,54994,1.6,427080,9.1
2023,Total,8009916,100.0,3362722,100.0,4647195,100.0
2023,Employees,4729711,59.0,2982126,88.7,1747585,37.6
2023,Employer,208462,2.6,111672,3.3,96789,2.1
2023,Own Account Worker,2627644,32.8,215477,6.4,2412168,51.9
2023,Contributing Family Worker,444100,5.5,53446,1.6,390653,8.4
2024,Total,7949751,100.0,3423526,100.0,4526224,100.0
2024,Employees,4675651,58.8,2980330,87.1,1695321,37.5
2024,Employer,229192,2.9,128835,3.8,100357,2.2
2024,Own Account Worker,2632721,33.1,258290,7.5,2374431,52.5
2024,Contributing Family Worker,412187,5.2,56072,1.6,356115,7.9
