Year,Level_of_Education,Total_No,Total_Pct,Formal_No,Formal_Pct,Informal_No,Informal_Pct
2015,Total,7830976,100.0,3144478,40.2,4686498,59.8
2015,Below Grade 6,1304572,100.0,254192,19.5,1050379,80.5
2015,Grade 6-10,3708446,100.0,1077290,29.0,2631155,71.0
2015,GCE O/L,1358638,100.0,682514,50.2,676124,49.8
2015,GCE A/L and above,1459322,100.0,1130482,77.5,328839,22.5
2016,Total,7947683,100.0,3163062,39.8,4784621,60.2
2016,Below Grade 6,1286085,100.0,227713,17.7,1058372,82.3
2016,Grade 6-10,3766485,100.0,1067356,28.3,2699129,71.7
2016,GCE O/L,1297144,100.0,642309,49.5,654835,50.5
2016,GCE A/L and above,1597969,100.0,1225684,76.7,372284,23.3
2017,Total,8208179,100.0,3444286,42.0,4763893,58.0
2017,Below Grade 6,1299892,100.0,243119,18.7,1056773,81.3
2017,Grade 6-10,3782967,100.0,1145403,30.3,2637564,69.7
2017,GCE O/L,1420549,100.0,723805,51.0,696744,49.0
2017,GCE A/L and above,1704771,100.0,1331959,78.1,372811,21.9
2018,Total,8015166,100.0,3309386,41.3,4705780,58.7
2018,Grade 5 and below,1194984,100.0,220848,18.5,974136,81.5
2018,Grade 6-10,3675316,100.0,1044776,28.4,2630540,71.6
2018,GCE O/L,1447618,100.0,714897,49.4,732720,50.6
2018,GCE A/L and above,1697248,100.0,1328864,78.3,368384,21.7
2019,Total,8180693,100.0,3482505,42.6,4698187,57.4
2019,Grade 5 and below,1148490,100.0,189448,16.5,959042,83.5
2019,Grade 6-10,3744088,100.0,1099699,29.4,2644388,70.6
2019,GCE O/L,1425476,100.0,714876,50.1,710601,49.9
2019,GCE A/L and above,1862639,100.0,1478482,79.4,384156,20.6
2020,Total,7999093,100.0,3352613,41.9,4646480,58.1
2020,Grade 5 and below,1092458,100.0,177586,16.3,914872,83.7
2020,Grade 6-10,3677247,100.0,1033554,28.1,2643694,71.9
2020,GCE O/L,1425835,100.0,717653,50.3,708182,49.7
2020,GCE A/L and above,1803552,100.0,1423821,78.9,379732,21.1
2021,Total,8113507,100.0,3377780,41.6,4735727,58.4
2021,Grade 5 and below,1050845,100.0,172865,16.5,877980,83.5
2021,Grade 6-10,3705114,100.0,1010340,27.3,2694773,72.7
2021,GCE O/L,1426252,100.0,674289,47.3,751963,52.7
2021,GCE A/L and above,1931296,100.0,1520286,78.7,411010,21.3
2022,Total,8147731,100.0,3469040,42.6,4678690,57.4
2022,Grade 5 and below,1030864,100.0,180934,17.6,849931,82.4
2022,Grade 6-10,3671867,100.0,1042841,28.4,2629026,71.6
2022,GCE O/L,1437627,100.0,686743,47.8,750884,52.2
2022,GCE A/L and above,2007372,100.0,1558522,77.6,448850,22.4
2023,Total,8009916,100.0,3362722,42.0,4647195,58.0
2023,Grade 5 and below,1009872,100.0,176464,17.5,833408,82.5
2023,Grade 6-10,3513503,100.0,956084,27.2,2557419,72.8
2023,GCE O/L,1478787,100.0,686772,46.4,792015,53.6
2023,GCE A/L and above,2007755,100.0,1543402,76.9,464353,23.1
2024,Total,7949751,100.0,3423526,43.1,4526224,56.9
2024,Grade 5 and below,923763,100.0,165472,17.9,758291,82.1
2024,Grade 6-10,3469664,100.0,968819,27.9,2500845,72.1
2024,GCE O/L,1519303,100.0,732763,48.2,786541,51.8
2024,GCE A/L and above,2037020,100.0,1556473,76.4,480547,23.6
