Year,Education_Level,Total_(%),Male_(%),Female_(%)
2015,Total,100.0,100.0,100.0
2015,Grade 5 and below,19.9,19.3,20.0
2015,Grade 6-10,44.8,43.0,45.5
2015,G.C.E.(O/L),23.1,25.7,22.2
2015,G.C.E.(A/L) & above,12.2,12.0,12.3
2016,Total,100.0,100.0,100.0
2016,Grade 5 and below,20.1,19.8,20.2
2016,Grade 6-10,46.1,44.7,46.5
2016,G.C.E.(O/L),21.4,24.4,20.4
2016,G.C.E.(A/L) & above,12.5,11.1,12.9
2017,Total,100.0,100.0,100.0
2017,Grade 5 and below,19.2,18.6,19.3
2017,Grade 6-10,44.8,43.5,45.3
2017,G.C.E.(O/L),23.0,25.8,22.1
2017,G.C.E.(A/L) & above,13.0,12.1,13.3
2018,Total,100.0,100.0,100.0
2018,Grade 5 and below,18.8,18.6,18.9
2018,Grade 6-10,43.5,42.0,44.1
2018,G.C.E.(O/L),23.7,26.8,22.6
2018,G.C.E.(A/L) & above,14.0,12.6,14.5
2019,Total,100.0,100.0,100.0
2019,Grade 5 and below,18.1,17.4,18.4
2019,Grade 6-10,43.3,41.6,43.9
2019,G.C.E.(O/L),24.1,27.2,22.9
2019,G.C.E.(A/L) & above,14.5,13.8,14.7
2020,Grade 5 and below,18.0,17.6,18.2
2020,Grade 6-10,42.7,39.8,43.7
2020,G.C.E.(O/L),23.4,27.3,22.0
2020,G.C.E.(A/L) & above,15.9,15.3,16.1
2021,Grade 5 and below,17.5,16.1,18.0
2021,Grade 6-10,42.4,40.5,43.2
2021,G.C.E.(O/L),23.5,26.7,22.4
2021,G.C.E.(A/L) & above,16.5,16.7,16.5
2022,Grade 5 and below,17.5,17.1,17.7
2022,Grade 6-10,43.1,42.1,43.5
2022,G.C.E.(O/L),23.0,25.2,22.2
2022,G.C.E.(A/L) & above,16.4,15.7,16.6
2023,Grade 5 and below,16.7,15.4,17.2
2023,Grade 6-10,42.4,41.9,42.6
2023,G.C.E.(O/L),24.2,26.9,23.1
2023,G.C.E.(A/L) & above,16.7,15.9,17.1
2024,Grade 5 and below,17.2,16.7,17.4
2024,Grade 6-10,41.1,41.1,41.0
2024,G.C.E.(O/L),24.1,25.7,23.4
2024,G.C.E.(A/L) & above,17.7,16.5,18.1
