Year,Education_Level,Youth_Unemployment_Rate
2015,Total,12.8
2015,Grade 5 & Below,8.4
2015,Grade 6-10,11.2
2015,G.C.E. (O/L),14.8
2015,G.C.E. (A/L) & above,22.1
2016,Total,12.4
2017,Total,11.8
2018,Total,13.1
2019,Total,14.2
2020,Total,26.5
2020,Grade 5 & Below,16.7
2020,Grade 6-10,20.7
2020,G.C.E. (O/L),25.9
2020,G.C.E. (A/L) & above,36.6
2021,Total,26.5
2021,Grade 5 & Below,10.4
2021,Grade 6-10,17.8
2021,G.C.E. (O/L),26.9
2021,G.C.E. (A/L) & above,39.3
2022,Total,22.7
2022,Grade 5 & Below,16.6
2022,Grade 6-10,17.5
2022,G.C.E. (O/L),24.6
2022,G.C.E. (A/L) & above,28.6
2023,Total,23.0
2023,Grade 5 & Below,7.6
2023,Grade 6-10,16.5
2023,G.C.E. (O/L),25.1
2023,G.C.E. (A/L) & above,29.8
2024,Total,22.0
2024,Grade 6-10,15.7
2024,G.C.E. (O/L),22.6
2024,G.C.E. (A/L) & above,30.0
