year,underemployment_male_pct,underemployment_female_pct,underemployment_total_pct,unemp_sector_agri,unemp_sector_industry,unemp_sector_services,unemp_sector_total,tru_female,tru_male,gdp_usd,gdp_growth_pct,real_gdp_mn_usd,inflation_pct,agri_output_index,services_employment_share_pct,youth_lfpr_female_pct,remittance_usd,crisis_dummy,period
2015,2.0,3.8,2.7,4.6,2.3,1.6,2.7,3.769,1.964,85090301052.0465,3.100861469677363,284900.96875,3.76836783062096,104.46,45.566,24.749,6999731474.7887,0,pre-crisis
2016,1.7,3.5,2.4,4.1,1.9,1.6,2.4,3.422,1.682,88000211171.5956,3.4197906031255165,299298.8125,3.9588884659307,98.22,46.508,22.906,7261851525.12139,0,pre-crisis
2017,2.2,3.9,2.8,4.9,2.8,1.6,2.8,3.865,2.079,94369350285.5814,7.2376407160732015,318635.53125,7.70413767850602,88.41499999999999,45.522,23.792,7190296015.03347,0,pre-crisis
2018,2.2,3.5,2.6,4.1,3.0,1.6,2.6,3.397,2.042,94450015982.8405,0.08547870364157273,325996.28125,2.135037737132,95.6,46.564,20.527,7043039552.3926,0,pre-crisis
2019,2.3,3.5,2.7,4.0,3.1,1.8,2.7,3.351,2.123,88998706296.5783,-5.771634477280118,325277.53125,3.52839358231811,96.975,47.066,21.541,6748702044.3482,0,pre-crisis
2020,2.3,3.3,2.6,4.3,2.5,1.7,2.6,3.204,2.15,84335574581.5072,-5.23954999922327,310235.03125,6.15394508391738,105.745,45.964,19.447,7140414362.13216,0,crisis
2021,2.1,3.3,2.5,3.5,2.6,1.8,2.5,3.112,1.95,88556698937.7033,5.005152780593836,323288.09375,7.01478071238195,113.42500000000001,46.725,17.639,5521864470.5955,0,crisis
2022,2.3,3.4,2.7,4.1,2.8,1.8,2.7,3.365,2.19,74143020262.8076,-16.27621495358046,299536.78125,49.721102111432714,92.125,47.019,17.58,3819373806.84977,1,crisis
2023,3.4,4.4,3.7,5.5,4.1,2.7,3.7,4.349,3.302,83716142582.1945,12.911697264899624,292653.40625,16.5411742279832,98.91,47.28,17.28,6022594532.62525,1,crisis
2024,2.0,2.5,2.2,3.0,2.6,1.4,2.2,,,98963185509.6499,18.21278723214641,,-0.42936004906973,99.345,47.615,17.604,6721617581.91647,0,recovery
