Year,Underemployment_Rate,Underemployment_Male,Underemployment_Female,Real_GDP,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate_LKR_USD,Informal_Pct,Informal_Male_Pct,Informal_Female_Pct,Youth_LFPR_15_24,Youth_Unemployment_15_24,Youth_Unemployment_Male,Youth_Unemployment_Female,Unemployment_Rate,AgriProdIdx_Agriculture,AgriProdIdx_Areca_nuts,AgriProdIdx_Avocados,AgriProdIdx_Beans_dry,AgriProdIdx_Cabbages,AgriProdIdx_Cantaloupes_and_other_melons,AgriProdIdx_Carrots_and_turnips,AgriProdIdx_Cashew_nuts_in_shell,AgriProdIdx_Cassava_fresh,AgriProdIdx_Cauliflowers_and_broccoli,AgriProdIdx_Cereals_primary,AgriProdIdx_Chillies_and_peppers_green_Capsicum_spp.,AgriProdIdx_Cinnamon_and_cinnamon-tree_flowers_raw,AgriProdIdx_Cloves_whole_stems_raw,AgriProdIdx_Cocoa_beans,AgriProdIdx_Coconuts_in_shell,AgriProdIdx_Coffee_green,AgriProdIdx_Cow_peas_dry,AgriProdIdx_Crops,AgriProdIdx_Cucumbers_and_gherkins,AgriProdIdx_Eggplants_aubergines,AgriProdIdx_Eggs_from_other_birds_in_shell_fresh_n.e,AgriProdIdx_Food,AgriProdIdx_Ginger_raw,AgriProdIdx_Groundnuts_excluding_shelled,AgriProdIdx_Hen_eggs_in_shell_fresh,AgriProdIdx_Leeks_and_other_alliaceous_vegetables,AgriProdIdx_Lemons_and_limes,AgriProdIdx_Livestock,AgriProdIdx_Maize_corn,AgriProdIdx_Mangoes_guavas_and_mangosteens,AgriProdIdx_Meat_indigenous_total,AgriProdIdx_Meat_of_buffalo_fresh_or_chilled_indigen,AgriProdIdx_Meat_of_cattle_with_the_bone_fresh_or_ch,AgriProdIdx_Meat_of_chickens_fresh_or_chilled_indige,AgriProdIdx_Meat_of_ducks_fresh_or_chilled_indigenou,AgriProdIdx_Meat_of_goat_fresh_or_chilled_indigenous,AgriProdIdx_Meat_of_pig_with_the_bone_fresh_or_chill,AgriProdIdx_Milk_Total,AgriProdIdx_Millet,AgriProdIdx_Mustard_seed,AgriProdIdx_Natural_rubber_in_primary_forms,AgriProdIdx_Non_Food,AgriProdIdx_Nutmeg_mace_cardamoms_raw,AgriProdIdx_Okra,AgriProdIdx_Onions_and_shallots_dry_excluding_dehydr,AgriProdIdx_Oranges,AgriProdIdx_Other_beans_green,AgriProdIdx_Other_fibre_crops_raw_n.e.c.,AgriProdIdx_Other_fruits_n.e.c.,AgriProdIdx_Other_stimulant_spice_and_aromatic_crops,AgriProdIdx_Other_vegetables_fresh_n.e.c.,AgriProdIdx_Pepper_Piper_spp._raw,AgriProdIdx_Pineapples,AgriProdIdx_Plantains_and_cooking_bananas,AgriProdIdx_Potatoes,AgriProdIdx_Pumpkins_squash_and_gourds,AgriProdIdx_Raw_milk_of_buffalo,AgriProdIdx_Raw_milk_of_cattle,AgriProdIdx_Raw_milk_of_goats,AgriProdIdx_Rice,AgriProdIdx_Roots_and_Tubers_Total,AgriProdIdx_Sesame_seed,AgriProdIdx_Sorghum,AgriProdIdx_Soya_beans,AgriProdIdx_Sugar_Crops_Primary,AgriProdIdx_Sugar_cane,AgriProdIdx_Sweet_potatoes,AgriProdIdx_Tea_leaves,AgriProdIdx_Tomatoes,AgriProdIdx_Unmanufactured_tobacco,AgriProdIdx_Vegetables_and_Fruit_Primary,Remit_Personal_remittances_paid_current_US$,Remit_Personal_remittances_received_pct_of_GDP,Remit_Personal_remittances_received_current_US$,Remit_Personal_transfers_receipts_BoP_current_US$
2015,2.7,2.0,3.8, 284900.9688, 4.206          ,3.7684,135.86,59.8,63.2,53.7,33.7,12.8,8.5,19.4,4.7,104.46,100.35,109.6,100.72,94.85,88.37,99.3,106.27,102.38,83.18,114.0,95.37,99.45,90.49,96.14,102.58,100.29,95.16,104.75,98.32,99.62,100.0,104.8,97.22,99.28,95.42,96.62,105.64,101.82,95.63,102.04,100.11,88.91,102.14,100.62,103.13,104.65,102.69,112.67,101.7,98.98,97.73,95.09,125.07,99.28,102.01,101.02,94.47,92.96,100.03,92.05,98.88,111.45,99.67,100.58,104.25,100.98,115.28,112.43,104.07,114.56,103.4,93.53,99.5,86.78,86.44,86.44,106.09,102.72,97.77,94.17,99.49,896280000.215906,8.22623893469037,6999731474.7887,6980301474.74552
2016,2.4,1.7,3.5, 299298.8125, 5.0536         ,3.9589,145.6,60.2,63.4,54.4,32.7,12.4,8.2,18.6,4.4,98.63,101.04,95.3,100.32,109.92,123.98,120.38,144.08,102.37,137.45,105.0,109.11,119.07,125.15,99.36,101.07,95.62,96.98,97.66,98.13,99.75,100.0,98.65,121.59,97.97,100.05,142.54,96.0,107.78,102.78,106.33,107.85,88.64,103.28,111.48,103.51,108.53,92.91,114.65,97.51,93.53,84.99,97.99,93.4,100.17,87.09,96.41,105.97,105.51,100.05,102.65,95.9,101.03,93.27,91.46,105.25,95.37,110.4,117.03,94.23,105.07,101.78,96.76,109.8,126.11,98.06,98.06,91.25,91.63,104.64,139.74,100.31,895080001.022999,8.25208420348126,7261851525.12139,7241531524.85695
2017,2.8,2.2,3.9, 318635.5312, 6.4607         ,7.7041,152.46,58.0,60.8,53.1,33.0,11.8,7.8,17.8,4.2,89.14,108.84,83.86,100.0,88.76,120.07,105.07,157.15,96.77,157.97,57.39,78.2,119.93,109.97,85.64,82.24,92.85,60.53,86.7,84.9,85.37,100.0,88.64,85.62,90.98,100.7,130.7,91.7,112.07,82.47,108.33,113.31,82.37,92.8,122.71,92.32,134.89,80.5,118.92,63.66,81.26,89.26,103.04,532.6,92.23,75.24,95.45,109.0,111.49,99.97,100.94,79.7,110.45,97.64,105.17,80.59,83.4,115.03,121.13,99.7,56.65,90.21,60.43,105.71,184.27,78.72,78.72,82.02,95.14,91.2,141.35,96.26,944429997.978739,7.61931283120434,7190296015.03347,7163956015.54659
2018,2.6,2.2,3.5, 325996.2812, 2.3101         ,2.135,162.54,58.7,62.5,51.3,30.0,13.1,8.8,19.2,4.4,96.74,128.48,138.48,100.35,99.03,146.54,104.26,348.37,102.06,112.01,93.99,119.2,116.72,83.07,121.97,88.05,110.18,78.91,94.39,127.54,101.33,100.0,97.73,74.51,111.74,95.81,119.7,117.12,118.87,113.77,123.61,119.34,82.37,95.81,130.66,102.77,126.36,83.72,138.73,92.14,91.84,88.71,68.74,502.86,102.87,60.22,115.34,111.16,48.12,99.89,100.42,126.39,151.66,80.12,121.07,97.66,106.55,127.16,144.15,101.48,93.42,99.04,66.94,115.25,32.07,77.55,77.55,88.41,87.55,114.41,117.44,110.43,962280000.0,7.45689609377321,7043039552.3926,7015419552.3926
2019,2.7,2.3,3.5, 325277.5312, -0.2205        ,3.5284,178.74,57.4,60.8,51.1,30.7,14.2,9.6,20.4,4.8,98.47,126.02,136.67,100.22,103.87,132.44,118.52,272.83,88.79,213.98,108.93,91.43,120.62,66.01,86.45,103.59,83.55,56.94,96.03,100.06,105.77,100.0,99.44,82.27,108.99,101.25,74.34,123.89,121.45,103.49,112.52,123.87,82.56,96.19,136.79,101.36,140.09,79.34,133.01,62.91,63.9,80.32,71.25,541.81,108.44,51.92,120.27,100.79,54.22,99.78,97.4,88.46,130.21,82.86,94.39,111.66,89.49,122.81,137.7,101.62,109.16,110.08,47.43,92.75,28.19,78.54,78.54,72.66,86.96,87.91,188.6,94.28,1090540000.0,7.58292151108231,6748702044.3482,6717212044.3482
2020,2.6,2.3,3.3, 310235.0312, -4.6245        ,6.1539,185.59,58.1,62.1,49.9,29.2,26.5,18.2,37.8,5.5,107.73,150.31,117.36,100.19,112.04,174.56,132.39,261.96,99.45,227.31,121.95,167.23,111.33,101.21,83.9,93.72,114.96,93.28,106.42,108.22,111.27,100.0,107.49,220.37,155.82,90.83,83.24,289.71,120.13,132.09,237.2,120.62,81.73,95.18,132.07,119.57,151.94,93.78,145.64,72.14,26.62,84.03,114.6,575.17,122.28,73.58,124.31,122.4,134.62,99.74,96.25,105.91,136.9,102.4,164.01,71.5,103.4,130.06,152.28,106.79,121.73,106.87,64.09,228.46,101.08,102.84,102.84,90.97,87.55,102.11,183.52,132.99,1042200001.07553,8.46666948979071,7140414362.13216,7103934361.76853
2021,2.5,2.1,3.3, 323288.0938, 4.2075         ,7.0148,199.0002,58.4,62.7,49.7,26.4,26.5,18.4,36.9,5.1,115.9,192.94,90.97,100.25,115.03,163.25,140.01,80.44,99.31,126.83,124.53,144.93,115.31,86.06,77.77,104.73,90.71,83.84,114.69,100.2,101.57,100.0,116.33,298.11,149.57,94.91,104.32,246.65,127.31,199.04,223.49,128.86,77.03,89.75,144.62,168.73,193.8,143.72,152.63,95.5,157.39,82.61,103.97,627.97,110.72,80.87,119.12,110.87,113.73,99.99,94.98,109.92,133.53,94.62,136.82,83.4,102.12,146.8,156.6,112.28,122.41,110.15,93.52,218.78,48.67,99.29,99.29,88.6,105.06,101.17,204.61,122.64,343600000.0,6.23540007343764,5521864470.5955,5491464470.5955
2022,2.3,2.0,2.8, 299536.7812, -7.3468        ,49.7211,321.5261,57.4,62.0,48.6,25.3,22.7,15.6,31.9,4.7,94.41,156.3,86.73,100.22,103.95,185.8,113.25,144.07,97.29,97.86,81.53,134.49,115.48,86.3,70.41,92.49,82.54,104.77,91.32,95.19,100.58,100.0,94.45,377.24,110.04,89.8,120.8,196.46,123.52,109.13,247.22,124.83,76.38,88.97,139.49,110.23,207.76,78.45,150.74,127.2,42.74,76.14,93.32,601.43,110.32,45.45,103.01,106.17,104.6,100.06,96.21,113.45,138.57,101.87,133.09,52.31,70.21,145.67,154.33,113.16,80.65,99.37,79.73,54.56,49.29,105.44,105.44,91.91,81.71,99.37,131.55,116.74,364930002.331941,5.1513598897261,3819373806.84977,3789462306.57004
2023,2.5,2.2,3.1, 292653.4062, -2.298         ,16.5412,326.6297,58.0,62.3,49.5,24.0,23.0,15.9,32.1,4.7,101.66,169.32,74.51,100.22,89.18,179.0,95.9,127.29,112.49,130.87,106.9,136.49,108.9,88.97,76.17,86.46,81.2,90.35,99.4,132.03,105.94,100.0,101.92,312.12,120.15,77.92,95.0,207.98,122.89,93.21,232.37,127.65,75.55,87.9,144.08,128.47,213.18,55.21,150.44,110.57,44.86,69.24,94.37,566.66,105.6,36.78,120.84,102.48,109.17,100.15,95.81,87.63,141.96,87.34,131.63,44.77,89.15,155.36,151.35,110.27,107.29,109.68,88.48,154.81,99.81,96.89,96.89,109.3,87.29,90.72,171.55,112.81,185243267.52,7.19406597922512,6022594532.62525,5969558531.65525
2024,2.4,2.1,3.0,            ,                ,-0.4294,301.6752,56.9,61.4,47.7,23.8,22.0,15.2,30.4,4.4,102.39,166.48,78.34,100.23,95.15,168.13,107.43,136.99,98.63,141.2,111.18,132.49,100.04,87.67,66.32,76.15,87.48,80.56,99.37,131.74,97.44,100.0,102.57,272.81,117.25,82.22,109.6,149.59,130.86,94.16,210.97,139.4,82.0,96.19,157.99,134.78,206.21,55.78,150.78,98.69,190.02,74.43,97.3,566.53,109.04,36.04,100.01,100.44,110.62,100.23,95.67,98.45,139.76,97.16,124.86,46.37,63.57,148.64,153.7,110.54,111.69,91.65,81.86,109.12,79.49,83.82,83.82,101.68,88.37,83.76,169.39,108.22,166050273.61,6.79203842044984,6721617581.91647,6575383420.30647
2025,2.5,2.2,3.1667,43642.6335,5.0,0.4333,300.82,56.9333,61.3,47.7,22.8667,20.425,15.5,26.575,3.975,103.8235,174.2133,71.47,100.2333,87.2933,159.9733,99.7067,129.0367,104.1433,166.65,113.4036,132.49,92.7,89.0167,66.8767,77.673,88.68,67.6833,100.3637,156.2033,98.18,100.0,104.1085,216.2933,123.0233,84.2755,97.2667,137.8067,134.7858,83.8633,193.9367,143.582,83.5967,98.24,163.5196,149.0433,207.5,40.4767,153.7956,83.6433,156.607,72.9414,97.7865,543.3067,107.04,30.0133,104.9533,97.3,114.15,100.3167,95.3567,84.8433,141.2867,90.7467,121.63,41.8767,67.67,150.8696,156.774,111.6454,113.9238,92.5665,85.4867,160.7233,106.3967,84.6582,84.6582,110.7333,83.9515,75.6733,195.3367,109.8433,100000000.0,7.619806,8076200000.0,7900495815.46
