Year,Quarter,Remittance_USD,Disaggregated_WB_Remittance
2009,Q1,780.6473155152739,782165921.6557783
2009,Q2,822.266493630162,823858768.5486788
2009,Q3,878.4457455977674,880130809.1580732
2009,Q4,848.9399717713004,850544500.6374699
2010,Q1,996.4540947279888,998299723.9966431
2010,Q2,986.6635909903375,988432495.374995
2010,Q3,1021.2708765610494,1023019395.4856236
2010,Q4,1111.5894934198468,1113378385.1427386
2011,Q1,1273.7107932382671,1275599053.5012078
2011,Q2,1232.859247706461,1234675373.3042526
2011,Q3,1275.5545202557935,1277566557.5070615
2011,Q4,1362.7171202430386,1365169015.687478
2012,Q1,1507.7747016773474,1511011589.928104
2012,Q2,1434.5974443410703,1438011645.649488
2012,Q3,1476.2932544864957,1479990090.4565752
2012,Q4,1566.5969238700222,1570538998.3407729
2013,Q1,1483.0586369164446,1486632269.0824106
2013,Q2,1555.9179169387253,1559578623.4704545
2013,Q3,1624.4130754621951,1628227453.6159687
2013,Q4,1743.5669966267487,1747748280.974727
2014,Q1,1663.3512302348172,1667520678.332623
2014,Q2,1696.6032241252137,1701015713.8729854
2014,Q3,1729.7134322248207,1734349416.1924036
2014,Q4,1928.1486637530159,1933440742.246938
2015,Q1,1679.423350808639,1684112932.7023807
2015,Q2,1753.2405886012366,1758164790.2047029
2015,Q3,1749.5131488930933,1754397816.799856
2015,Q4,1798.124386442552,1803055935.0817606
2016,Q1,1793.3646228702983,1798134061.5183642
2016,Q2,1819.7220802326688,1824605863.8984754
2016,Q3,1768.9306267687575,1773913939.0713031
2016,Q4,1859.514194985216,1865197660.6332474
2017,Q1,1911.4326551242239,1917945117.7589447
2017,Q2,1679.5315610339326,1685665676.1501667
2017,Q3,1766.9498333222791,1773672594.9428287
2017,Q4,1806.0419660661573,1813012626.1815302
2018,Q1,1978.5512387500162,1986099093.361033
2018,Q2,1645.2206128867913,1651559123.545114
2018,Q3,1653.0628243615906,1659607693.7222795
2018,Q4,1738.5848763941958,1745773641.7641737
2019,Q1,1617.2486715679192,1624337153.9123394
2019,Q2,1652.4397758940731,1660043882.395563
2019,Q3,1660.194658199613,1668147453.5878954
2019,Q4,1787.3289386865968,1796173554.4524016
2020,Q1,1600.341675218095,1608461999.3048809
2020,Q2,1379.2747718536818,1386374126.8857129
2020,Q3,2069.1956311116232,2079903531.5730493
2020,Q4,2055.122283585141,2065674704.3685172
2021,Q1,1867.060601476344,1876446269.591069
2021,Q2,1457.3172222885887,1465013214.9969776
2021,Q3,1253.1087024374801,1260398271.66355
2021,Q4,913.9779443930943,920006714.3439037
2022,Q1,782.5474782670157,788457461.3276737
2022,Q2,827.3834784303449,834075402.2931964
2022,Q3,964.1599645058254,972046379.5315446
2022,Q4,1215.371385366859,1224794563.6973553
2023,Q1,1413.2133666193176,1422645773.2242577
2023,Q2,1409.4038544069829,1419359995.732602
2023,Q3,1522.4953232268008,1536073386.8727198
2023,Q4,1624.4459874021495,1644515376.7956707
2024,Q1,1536.1036097605936,1562953088.848177
2024,Q2,1607.8557230233769,1642273764.5481644
2024,Q3,1699.8401529680345,1740772918.7749023
2024,Q4,1731.58393455447,1775617809.7452254
