Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sri Lanka,LKA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12638366.8558,12364707.5787,13253602.0822,13356026.3893,13507477.2648,14033983.3221,188270000,203680000,223690000,229550000,249350000,274200000,304550000,372900000,420300000,526140000,580970000,680120989.532162,854400005.909658,887060001.069286,896280000.215906,895080001.022999,944429997.978739,962280000,1090540000,1042200001.07553,343600000,364930002.331941,185243267.52,166050273.61,..
Sri Lanka,LKA,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.225850402589645,0.360805505073999,0.45030781258659,1.42804270071862,1.7852113707521,3.76931440729779,5.19853949547085,6.06670264061347,5.69818094039029,4.97967345491915,4.87838347636767,5.08910268677246,5.23869629322855,5.1253629293731,5.12377582486869,4.98939638548654,4.91195760273859,5.645721908393,6.11666073695315,6.10357229220562,6.1472571731667,6.06698006270971,6.18696384964807,6.42950321951236,6.77384344468758,6.95525252555149,7.42748118158474,7.83761500994067,7.53886073171107,7.61659055853601,8.09453787576719,7.66525818394653,7.75048375552437,7.18306352381559,7.93201688989892,7.03173225308739,7.60554994758808,8.51637944821433,8.34308046856983,8.52566414719495,8.22623893469037,8.25208420348126,7.61931283120434,7.45689609377321,7.58292151108231,8.46666948979071,6.23540007343764,5.1513598897261,7.19406597922512,6.79203842044984,..
Sri Lanka,LKA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8562662.125,12957679.75,18482927.32,39031032.56,60065425.87,151700653.1,229559402.5,289306793.2,294477050.8,300945312.5,291652252.2,325967742.9,350058441.2,357666870.1,358011932.4,400775817.9,442093994.1,547805053.7,632381958,715192443.8,800969017.959,843173016.3939,933731256.2051,1013337090.0168,1064301778.3232,1154285558.8842,1169810000,1296070000,1423470000,1573780000,1975536000,2166770000,2507300000,2924500000,3336700000,4123130000,5153010000,5999552324.37494,6422186627.14356,7036326550.64495,6999731474.7887,7261851525.12139,7190296015.03347,7043039552.3926,6748702044.3482,7140414362.13216,5521864470.5955,3819373806.84977,6022594532.62525,6721617581.91647,..
Sri Lanka,LKA,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8562662.0377,12957679.5069,18482927.2868,39031032.8319,60065424.0295,151700647.3998,229559404.7235,289306802.7311,294477055.8816,300945309.0461,291652237.7219,325967756.1144,350058438.3116,357666870.5516,358011941.7356,400775809.0947,442093994.1697,547805038.3343,632381960.1427,715192415.3218,789811105.9574,832211176.6954,922017064.929,1001502985.8003,1052399790.3951,1142330360.6969,1155390000,1287070000,1413910000,1563880000,1968490000,2161000000,2501500000,2918000000,3330200000,4115970000,5144840000,5985262324.37494,6406956625.94412,7017816550.33787,6980301474.74552,7241531524.85695,7163956015.54659,7015419552.3926,6717212044.3482,7103934361.76853,5491464470.5955,3789462306.57004,5969558531.65525,6575383420.30647,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
