Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2023,22.587,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2022,22.074,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2021,25.884,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2020,25.923,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2019,21.031,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2018,21.065,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2017,18.016,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2016,21.048,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2015,20.137,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2014,19.714,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2013,18.437,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2012,17.290,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2011,16.809,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2010,18.967,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2009,21.250,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2008,18.530,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2007,21.220,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2006,21.620,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2005,26.360,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2004,26.530,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2003,26.210,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,2000,23.650,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1999,26.800,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1998,26.120,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1997,32.130,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1996,32.920,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1995,35.180,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1994,34.860,"total, National, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Sri Lanka,LKA,1993,35.610,"total, National, 15-24"
