Year,Gender,Age_Group,Engaged_in_studies_(%),Engaged_in_housework_(%),Retired_Old_age_(%),Physically_illness_Disabled_(%),Other_(%)
2015,Male,15-24,88.9,3.6,0.2,2.4,4.8
2015,Male,25-34,27.8,13.5,1.2,17.3,40.2
2015,Male,35-54,1.2,18.7,14.3,43.7,22.1
2015,Male,55 & over,0.1,5.0,73.8,19.0,2.1
2015,Female,15-24,65.4,29.5,0.2,1.6,3.3
2015,Female,25-34,4.5,87.3,0.3,1.8,6.1
2015,Female,35-54,0.6,90.6,1.7,4.4,2.7
2015,Female,55 & over,0.4,43.3,46.8,8.5,1.0
2016,Male,15-24,84.4,3.5,0.0,2.4,9.7
2016,Male,25-34,18.9,19.8,0.6,26.6,34.1
2016,Male,55 & over,0.2,5.8,69.6,23.4,1.1
2016,Female,15-24,64.7,26.9,0.0,1.5,6.8
2016,Female,25-34,2.0,91.2,0.5,2.1,4.1
2016,Female,35-54,0.3,92.6,1.5,4.3,1.4
2016,Female,55 & over,0.2,46.4,43.4,9.6,0.4
2017,Male,15-24,87.3,2.2,,2.2,8.3
2017,Male,25-34,20.2,13.1,1.0,34.3,31.4
2017,Male,35-54,1.0,17.5,13.8,49.0,18.7
2017,Male,55 & over,0.1,4.9,70.9,22.7,1.3
2017,Female,15-24,69.5,23.0,,1.3,6.2
2017,Female,25-34,3.0,90.5,0.2,1.7,4.6
2017,Female,35-54,0.2,92.8,1.0,3.9,2.1
2017,Female,55 & over,0.1,44.8,44.2,10.4,0.5
2018,Male,15-24,88.6,1.9,0.0,2.3,7.2
2018,Male,25-34,32.3,9.3,2.1,26.2,30.2
2018,Male,35-54,0.7,15.0,13.5,50.4,20.3
2018,Male,55 & over,0.0,2.4,72.2,24.6,0.8
2018,Female,15-24,71.1,24.5,0.0,1.3,3.1
2018,Female,25-34,3.5,90.1,0.1,2.2,4.1
2018,Female,35-54,0.4,93.8,0.9,3.7,1.2
2018,Female,55 & over,0.1,47.7,40.6,11.4,0.2
2019,Male,15-24,86.3,3.6,,2.2,7.9
2019,Male,25-34,24.4,18.6,,25.9,31.1
2019,Male,35-54,0.4,12.6,16.9,54.7,15.4
2019,Male,55 & over,,2.8,71.4,24.6,1.2
2019,Female,15-24,68.1,25.5,,1.1,5.4
2019,Female,25-34,3.1,90.4,,2.0,4.5
2019,Female,35-54,0.0,93.5,1.1,3.7,1.7
2019,Female,55 & over,,49.5,40.4,9.8,0.3
2020,Male,15-24,86.9,3.6,N/A,2.3,7.1
2020,Male,25-34,28.3,14.5,N/A,28.5,28.7
2020,Male,35-54,0.2,12.0,18.5,48.6,20.6
2020,Male,55 & over,N/A,1.7,72.4,24.6,1.3
2020,Female,15-24,71.8,22.1,N/A,1.3,4.9
2020,Female,25-34,4.2,89.3,N/A,1.9,4.6
2020,Female,35-54,0.0,93.9,1.0,3.7,1.4
2020,Female,55 & over,N/A,46.9,41.9,10.9,0.4
2021,Male,15-24,87.4,3.6,N/A,1.9,7.1
2021,Male,25-34,35.9,12.3,N/A,18.6,33.1
2021,Male,35-54,0.4,8.3,19.5,51.8,19.9
2021,Male,55 & over,N/A,1.7,73.5,23.4,1.4
2021,Female,15-24,75.9,19.0,N/A,1.1,4.0
2021,Female,25-34,5.3,88.3,N/A,2.4,4.0
2021,Female,35-54,0.1,93.8,1.0,3.7,1.4
2021,Female,55 & over,N/A,48.6,41.7,9.3,0.4
2022,Male,15-24,87.9,4.2,N/A,2.2,5.8
2022,Male,25-34,31.4,14.7,N/A,25.3,28.6
2022,Male,35-54,0.2,11.1,16.7,51.3,20.8
2022,Male,55 & over,N/A,2.4,72.2,24.4,1.0
2022,Female,15-24,76.8,19.0,N/A,1.0,3.2
2022,Female,25-34,5.5,89.7,N/A,1.8,3.1
2022,Female,35-54,0.1,93.0,1.1,3.9,1.9
2022,Female,55 & over,N/A,47.1,43.1,9.6,0.2
2023,Male,15-24,86.5,5.1,N/A,2.1,6.3
2023,Male,25-34,32.4,17.3,N/A,21.3,28.9
2023,Male,35-54,0.6,15.7,12.2,53.5,18.0
2023,Male,55 & over,N/A,2.3,69.2,27.1,1.4
2023,Female,15-24,76.6,18.8,N/A,1.0,3.5
2023,Female,25-34,6.6,85.6,N/A,2.9,4.9
2023,Female,35-54,0.1,92.1,1.0,5.1,1.8
2023,Female,55 & over,N/A,46.0,41.3,12.3,0.5
2024,Male,15-24,88.5,4.5,N/A,2.1,4.9
2024,Male,25-34,29.9,21.4,N/A,24.2,24.5
2024,Male,35-54,0.8,16.6,14.1,53.4,15.1
2024,Male,55 & over,N/A,2.4,72.1,24.6,1.0
2024,Female,15-24,76.7,18.5,N/A,1.5,3.2
2024,Female,25-34,6.8,87.2,N/A,2.7,3.3
2024,Female,35-54,0.1,93.7,0.8,4.5,1.0
2024,Female,55 & over,N/A,48.9,40.3,10.6,0.2
