Year,Gender,Economically_active_No,Economically_active_%,Economically_inactive_No,Economically_inactive_%
2015,Total,8214473,100.0,7067473,100.0
2015,Male,5255593,64.0,1781352,25.2
2015,Female,2958880,36.0,5286121,74.8
2016,Total,8310682,100.0,7137997,100.0
2016,Male,5303502,63.8,1761234,24.7
2016,Female,3007180,36.2,5376764,75.3
2017,Total,8566686,100.0,7277049,100.0
2017,Male,5434510,63.4,1857537,25.5
2017,Female,3132176,36.6,5419512,74.5
2018,Total,8387759,100.0,7808473,100.0
2018,Male,5464236,65.1,2024084,25.9
2018,Female,2923523,34.9,5784390,74.1
2019,Total,8592010,100.0,7832006,100.0
2019,Male,5554192,64.6,2055920,26.3
2019,Female,3037818,35.4,5776085,73.7
2020,Total,8466606,100.0,8272790,100.0
2020,Male,5598004,66.1,2190629,26.5
2020,Female,2868602,33.9,6082161,73.5
2021,Total,8553290,100.0,8580369,100.0
2021,Male,5621223,65.7,2294436,26.7
2021,Female,2932067,34.3,6285933,73.3
2022,Total,8547062,100.0,8614911,100.0
2022,Male,5580786,65.3,2333850,27.1
2022,Female,2966276,34.7,6281061,72.9
2023,Total,8408331,100.0,8898161,100.0
2023,Male,5503595,65.5,2521164,28.3
2023,Female,2904736,34.5,6376997,71.7
2024,Total,8315702,100.0,9232162,100.0
2024,Male,5525402,66.4,2669766,28.9
2024,Female,2790299,33.6,6562395,71.1
