Year,Reason,Total_(%),Male_(%),Female_(%)
2015,All Economically Inactive,100.0,100.0,100.0
2015,Engaged in studies,20.3,38.9,14.0
2015,Engaged in housework,47.4,5.9,61.4
2015,Retired/Old age,21.4,34.8,16.9
2015,Physically illness/Disabled,7.1,13.7,4.8
2015,Other,3.8,6.8,2.8
2016,All Economically Inactive,100.0,100.0,100.0
2016,Engaged in studies,20.2,38.4,14.3
2016,Engaged in housework,48.3,6.0,62.2
2016,Retired/Old age,19.8,32.5,15.6
2016,Physically illness/Disabled,7.8,15.9,5.2
2016,Other,3.8,7.2,2.6
2017,All Economically Inactive,100.0,100.0,100.0
2017,Engaged in studies,21.6,39.6,15.4
2017,Engaged in housework,46.3,4.9,60.5
2017,Retired/Old age,20.3,32.9,16.0
2017,Physically illness/Disabled,8.0,15.9,5.3
2017,Other,3.8,6.7,2.8
2018,All Economically Inactive,100.0,100.0,100.0
2018,Engaged in studies,22.3,40.9,15.8
2018,Engaged in housework,46.7,3.2,61.9
2018,Retired/Old age,19.8,33.9,14.9
2018,Physically illness/Disabled,8.5,16.2,5.7
2018,Other,2.8,5.8,1.7
2019,All Economically Inactive,100.0,100.0,100.0
2019,Engaged in studies,21.1,39.2,14.6
2019,Engaged in housework,47.2,4.3,62.4
2019,Retired/Old age,20.3,33.7,15.5
2019,Physically illness/Disabled,8.2,16.6,5.2
2019,Other,3.3,6.1,2.3
2020,All Economically Inactive,100.0,100.0,100.0
2020,Engaged in studies,22.0,39.2,15.8
2020,Engaged in housework,45.3,3.7,60.3
2020,Retired/Old age,20.9,34.4,16.1
2020,Physically illness/Disabled,8.6,16.6,5.7
2020,Other,3.2,6.2,2.1
2021,All Economically Inactive,100.0,100.0,100.0
2021,Engaged in studies,23.3,40.6,17.0
2021,Engaged in housework,44.4,3.4,59.4
2021,Retired/Old age,21.4,34.5,16.6
2021,Physically illness/Disabled,7.9,15.2,5.2
2021,Other,3.0,6.3,1.9
2022,All Economically Inactive,100.0,100.0,100.0
2022,Engaged in studies,23.8,40.8,17.4
2022,Engaged in housework,44.0,4.1,58.8
2022,Retired/Old age,21.5,34.1,16.9
2022,Physically illness/Disabled,8.1,15.9,5.2
2022,Other,2.6,5.2,1.7
2023,All Economically Inactive,100.0,100.0,100.0
2023,Engaged in studies,23.6,39.6,17.2
2023,Engaged in housework,42.4,5.0,57.2
2023,Retired/Old age,21.1,32.2,16.7
2023,Physically illness/Disabled,9.9,17.5,6.8
2023,Other,3.0,5.7,2.0
2024,All Economically Inactive,100.0,100.0,100.0
2024,Engaged in studies,22.8,37.7,16.8
2024,Engaged in housework,43.1,4.9,58.6
2024,Retired/Old age,22.5,35.9,17.0
2024,Physically illness/Disabled,9.4,17.1,6.2
2024,Other,2.3,4.4,1.4
