Year,Formal_Informal,Industry_Group,Count,Pct
2015,Total,Total,700129,100.0
2015,Total,Agriculture,469506,100.0
2015,Total,Industries,86381,100.0
2015,Total,Services,144242,100.0
2015,Formal,Total,37552,5.4
2015,Formal,Agriculture,10721,2.3
2015,Formal,Industries,7390,8.6
2015,Formal,Services,19442,13.5
2015,Informal,Total,662577,94.6
2015,Informal,Agriculture,458786,97.7
2015,Informal,Industries,78991,91.4
2015,Informal,Services,124800,86.5
2016,Total,Total,877628,100.0
2016,Total,Agriculture,567684,100.0
2016,Total,Industries,106286,100.0
2016,Total,Services,203658,100.0
2016,Formal,Total,48803,5.6
2016,Formal,Agriculture,12070,2.1
2016,Formal,Industries,9296,8.7
2016,Formal,Services,27437,13.5
2016,Informal,Total,828825,94.4
2016,Informal,Agriculture,555614,97.9
2016,Informal,Industries,96990,91.3
2016,Informal,Services,176220,86.5
2017,Total,Total,692118,100.0
2017,Total,Agriculture,417618,100.0
2017,Total,Industries,106953,100.0
2017,Total,Services,167547,100.0
2017,Formal,Total,50740,7.3
2017,Formal,Agriculture,10889,2.6
2017,Formal,Industries,13464,12.6
2017,Formal,Services,26386,15.7
2017,Informal,Total,641378,92.7
2017,Informal,Agriculture,406729,97.4
2017,Informal,Industries,93489,87.4
2017,Informal,Services,141161,84.3
2018,Total,Total,503920,100.0
2018,Total,Agriculture,296043,100.0
2018,Total,Industries,73303,100.0
2018,Total,Services,134574,100.0
2018,Formal,Total,33669,6.7
2018,Formal,Agriculture,5371,1.8
2018,Formal,Industries,7629,10.4
2018,Formal,Services,20668,15.4
2018,Informal,Total,470251,93.3
2018,Informal,Agriculture,290671,98.2
2018,Informal,Industries,65673,89.6
2018,Informal,Services,113906,84.6
2019,Total,Total,532107,100.0
2019,Total,Agriculture,324605,100.0
2019,Total,Industries,68881,100.0
2019,Total,Services,138621,100.0
2019,Formal,Total,35897,6.7
2019,Formal,Agriculture,4727,1.5
2019,Formal,Industries,8187,11.9
2019,Formal,Services,22983,16.6
2019,Informal,Total,496210,93.3
2019,Informal,Agriculture,319878,98.5
2019,Informal,Industries,60694,88.1
2019,Informal,Services,115638,83.4
2020,Total,Total,513741,100.0
2020,Total,Agriculture,365151,100.0
2020,Total,Industries,51733,100.0
2020,Total,Services,96856,100.0
2020,Formal,Total,22344,4.3
2020,Formal,Agriculture,4760,1.3
2020,Formal,Industries,4711,9.1
2020,Formal,Services,12873,13.3
2020,Informal,Total,491397,95.7
2020,Informal,Agriculture,360391,98.7
2020,Informal,Industries,47023,90.9
2020,Informal,Services,83983,86.7
2021,Total,Total,489550,100.0
2021,Total,Agriculture,316076,100.0
2021,Total,Industries,70513,100.0
2021,Total,Services,102960,100.0
2021,Formal,Total,28844,5.9
2021,Formal,Agriculture,3800,1.2
2021,Formal,Industries,10642,15.1
2021,Formal,Services,14402,14.0
2021,Informal,Total,460706,94.1
2021,Informal,Agriculture,312277,98.8
2021,Informal,Industries,59871,84.9
2021,Informal,Services,88558,86.0
2022,Total,Total,486160,100.0
2022,Total,Agriculture,302423,100.0
2022,Total,Industries,64516,100.0
2022,Total,Services,119220,100.0
2022,Formal,Total,30269,6.2
2022,Formal,Agriculture,6249,2.1
2022,Formal,Industries,7312,11.3
2022,Formal,Services,16707,14.0
2022,Informal,Total,455891,93.8
2022,Informal,Agriculture,296174,97.9
2022,Informal,Industries,57204,88.7
2022,Informal,Services,102513,86.0
2023,Total,Total,511653,100.0
2023,Total,Agriculture,322697,100.0
2023,Total,Industries,70530,100.0
2023,Total,Services,118427,100.0
2023,Formal,Total,31273,6.1
2023,Formal,Agriculture,5556,1.7
2023,Formal,Industries,8324,11.8
2023,Formal,Services,17394,14.7
2023,Informal,Total,480380,93.9
2023,Informal,Agriculture,317141,98.3
2023,Informal,Industries,62206,88.2
2023,Informal,Services,101033,85.3
2024,Total,Total,400250,100.0
2024,Total,Agriculture,263387,100.0
2024,Total,Industries,46982,100.0
2024,Total,Services,89880,100.0
2024,Formal,Total,25845,6.5
2024,Formal,Agriculture,4321,1.6
2024,Formal,Industries,3343,7.1
2024,Formal,Services,18181,20.2
2024,Informal,Total,374405,93.5
2024,Informal,Agriculture,259066,98.4
2024,Informal,Industries,43639,92.9
2024,Informal,Services,71700,79.8
